period,period_type,remaining_seconds_in_period,relevant_team,away_team,home_team,away_score,home_score,description
1,QUARTER,698.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,0,0,J. Crowder misses 2-pt jump shot from 19 ft
1,QUARTER,697.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,0,0,Defensive rebound by D. Rose
1,QUARTER,680.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,0,2,P. Gasol makes 2-pt jump shot from 13 ft
1,QUARTER,660.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,0,2,E. Turner misses 2-pt jump shot from 16 ft
1,QUARTER,659.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,0,2,Defensive rebound by P. Gasol
1,QUARTER,643.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,0,2,P. Gasol misses 2-pt jump shot from 18 ft
1,QUARTER,642.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,0,2,Defensive rebound by A. Johnson
1,QUARTER,631.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,2,2,A. Johnson makes 2-pt hook shot from 8 ft (assist by J. Crowder)
1,QUARTER,611.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,2,4,P. Gasol makes 2-pt jump shot from 13 ft (assist by J. Butler)
1,QUARTER,597.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,2,4,Personal foul by N. Mirotić (drawn by A. Johnson)
1,QUARTER,588.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,2,4,J. Crowder misses 2-pt jump shot from 19 ft
1,QUARTER,587.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,2,4,Defensive rebound by T. Gibson
1,QUARTER,575.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,2,6,D. Rose makes 2-pt layup from 2 ft
1,QUARTER,556.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,2,6,I. Thomas misses 2-pt jump shot from 6 ft
1,QUARTER,555.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,2,6,Offensive rebound by I. Thomas
1,QUARTER,548.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,2,6,E. Turner misses 3-pt jump shot from 24 ft
1,QUARTER,547.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,2,6,Defensive rebound by N. Mirotić
1,QUARTER,532.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,2,6,Turnover by D. Rose (bad pass; steal by J. Crowder)
1,QUARTER,528.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,4,6,J. Crowder makes 2-pt dunk at rim
1,QUARTER,518.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,4,6,Turnover by P. Gasol (bad pass; steal by E. Turner)
1,QUARTER,510.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,7,6,K. Olynyk makes 3-pt jump shot from 24 ft (assist by E. Turner)
1,QUARTER,489.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,7,6,D. Rose misses 3-pt jump shot from 24 ft
1,QUARTER,488.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,7,6,Defensive rebound by K. Olynyk
1,QUARTER,478.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,7,6,I. Thomas misses 2-pt jump shot from 14 ft
1,QUARTER,477.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,7,6,Defensive rebound by D. Rose
1,QUARTER,469.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,7,6,T. Gibson misses 2-pt jump shot from 10 ft
1,QUARTER,468.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,7,6,Defensive rebound by J. Crowder
1,QUARTER,458.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,7,6,Turnover by E. Turner (lost ball; steal by J. Butler)
1,QUARTER,434.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,7,6,N. Mirotić misses 2-pt jump shot from 15 ft
1,QUARTER,433.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,7,6,Defensive rebound by A. Johnson
1,QUARTER,429.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,9,6,A. Johnson makes 2-pt dunk at rim (assist by J. Crowder)
1,QUARTER,429.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,9,6,Chicago full timeout
1,QUARTER,406.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,9,6,N. Mirotić misses 2-pt jump shot from 7 ft
1,QUARTER,404.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,9,6,Offensive rebound by N. Mirotić
1,QUARTER,404.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,9,6,Shooting foul by K. Olynyk (drawn by N. Mirotić)
1,QUARTER,404.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,9,6,N. Mirotić misses free throw 1 of 2
1,QUARTER,404.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,9,6,Offensive rebound by Team
1,QUARTER,404.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,9,7,N. Mirotić makes free throw 2 of 2
1,QUARTER,383.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,9,7,J. Crowder misses 2-pt jump shot from 6 ft
1,QUARTER,380.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,9,7,Offensive rebound by J. Crowder
1,QUARTER,380.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,12,7,J. Crowder makes 3-pt jump shot from 23 ft
1,QUARTER,373.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,12,9,T. Gibson makes 2-pt jump shot from 16 ft
1,QUARTER,359.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,14,9,J. Crowder makes 2-pt layup from 1 ft (assist by K. Olynyk)
1,QUARTER,350.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,9,N. Mirotić misses 3-pt jump shot from 27 ft
1,QUARTER,350.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,14,9,Defensive rebound by Team
1,QUARTER,338.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,14,9,I. Thomas misses 3-pt jump shot from 24 ft
1,QUARTER,336.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,9,Defensive rebound by J. Butler
1,QUARTER,327.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,11,D. Rose makes 2-pt layup from 1 ft (assist by J. Butler)
1,QUARTER,302.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,14,11,J. Crowder misses 2-pt layup from 1 ft (block by N. Mirotić)
1,QUARTER,301.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,11,Defensive rebound by P. Gasol
1,QUARTER,286.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,11,J. Butler misses 3-pt jump shot from 22 ft
1,QUARTER,284.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,14,11,Defensive rebound by K. Olynyk
1,QUARTER,278.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,14,11,I. Thomas misses 3-pt jump shot from 24 ft
1,QUARTER,277.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,11,Defensive rebound by J. Butler
1,QUARTER,269.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,13,T. Gibson makes 2-pt jump shot from 13 ft (assist by J. Butler)
1,QUARTER,243.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,14,13,I. Thomas misses 2-pt jump shot from 5 ft
1,QUARTER,242.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,13,Defensive rebound by N. Mirotić
1,QUARTER,232.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,13,T. Gibson misses 2-pt layup from 1 ft (block by A. Johnson)
1,QUARTER,229.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,13,Offensive rebound by P. Gasol
1,QUARTER,229.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,14,13,P. Gasol misses 2-pt hook shot from 4 ft
1,QUARTER,228.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,14,13,Defensive rebound by A. Johnson
1,QUARTER,222.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,16,13,K. Olynyk makes 2-pt layup at rim (assist by J. Crowder)
1,QUARTER,210.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,16,15,D. Rose makes 2-pt jump shot from 13 ft
1,QUARTER,206.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,16,15,Boston full timeout
1,QUARTER,206.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,16,15,M. Smart enters the game for A. Johnson
1,QUARTER,206.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,16,15,J. Sullinger enters the game for I. Thomas
1,QUARTER,206.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,16,15,T. Snell enters the game for T. Gibson
1,QUARTER,206.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,16,15,B. Portis enters the game for N. Mirotić
1,QUARTER,202.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,16,15,Personal foul by B. Portis (drawn by K. Olynyk)
1,QUARTER,194.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,18,15,J. Sullinger makes 2-pt jump shot from 21 ft (assist by E. Turner)
1,QUARTER,182.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,18,15,Turnover by P. Gasol (bad pass; steal by E. Turner)
1,QUARTER,177.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,18,15,E. Turner misses 2-pt jump shot from 14 ft
1,QUARTER,175.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,18,15,Defensive rebound by J. Butler
1,QUARTER,169.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,18,15,J. Butler misses 2-pt jump shot from 18 ft
1,QUARTER,168.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,18,15,Defensive rebound by K. Olynyk
1,QUARTER,154.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,21,15,K. Olynyk makes 3-pt jump shot from 24 ft (assist by J. Sullinger)
1,QUARTER,133.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,21,17,P. Gasol makes 2-pt jump shot from 14 ft (assist by T. Snell)
1,QUARTER,115.0,BOSTON CELTICS,BOSTON CELTICS,CHICAGO BULLS,21,17,K. Olynyk misses 2-pt jump shot from 19 ft
1,QUARTER,114.0,CHICAGO BULLS,BOSTON CELTICS,CHICAGO BULLS,21,17,Defensive rebound by D. Rose
