period,period_type,remaining_seconds_in_period,relevant_team,away_team,home_team,away_score,home_score,description
1,QUARTER,706.0,LOS ANGELES LAKERS,LOS ANGELES LAKERS,SACRAMENTO KINGS,0,0,Personal foul by R. Gay (drawn by R. Hibbert)
1,QUARTER,696.0,LOS ANGELES LAKERS,LOS ANGELES LAKERS,SACRAMENTO KINGS,0,0,Turnover by K. Bryant (lost ball; steal by D. Cousins)
1,QUARTER,687.0,SACRAMENTO KINGS,LOS ANGELES LAKERS,SACRAMENTO KINGS,0,0,D. Cousins misses 2-pt layup at rim
1,QUARTER,686.0,LOS ANGELES LAKERS,LOS ANGELES LAKERS,SACRAMENTO KINGS,0,0,Defensive rebound by R. Hibbert
1,QUARTER,672.0,LOS ANGELES LAKERS,LOS ANGELES LAKERS,SACRAMENTO KINGS,0,0,R. Hibbert misses 2-pt jump shot from 13 ft
1,QUARTER,672.0,SACRAMENTO KINGS,LOS ANGELES LAKERS,SACRAMENTO KINGS,0,0,Defensive rebound by B. McLemore
1,QUARTER,658.0,SACRAMENTO KINGS,LOS ANGELES LAKERS,SACRAMENTO KINGS,0,0,B. McLemore misses 2-pt jump shot from 21 ft
1,QUARTER,657.0,LOS ANGELES LAKERS,LOS ANGELES LAKERS,SACRAMENTO KINGS,0,0,Defensive rebound by J. Clarkson
1,QUARTER,648.0,LOS ANGELES LAKERS,LOS ANGELES LAKERS,SACRAMENTO KINGS,2,0,L. Nance makes 2-pt jump shot from 16 ft (assist by K. Bryant)
1,QUARTER,636.0,SACRAMENTO KINGS,LOS ANGELES LAKERS,SACRAMENTO KINGS,2,2,B. McLemore makes 2-pt layup from 3 ft (assist by D. Cousins)
1,QUARTER,627.0,LOS ANGELES LAKERS,LOS ANGELES LAKERS,SACRAMENTO KINGS,2,2,Turnover by R. Hibbert (3 sec)
1,QUARTER,616.0,SACRAMENTO KINGS,LOS ANGELES LAKERS,SACRAMENTO KINGS,2,4,R. Gay makes 2-pt jump shot from 20 ft (assist by D. Cousins)
