period,period_type,remaining_seconds_in_period,relevant_team,away_team,home_team,away_score,home_score,description
1,QUARTER,700.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,0,2,C. Capela makes 2-pt dunk at rim (assist by J. Harden)
1,QUARTER,678.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,0,2,G. Hayward misses 3-pt jump shot from 23 ft
1,QUARTER,678.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,0,2,Defensive rebound by J. Harden
1,QUARTER,672.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,0,4,J. Harden makes 2-pt layup from 1 ft
1,QUARTER,655.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,0,4,Turnover by R. Neto (step out of bounds)
1,QUARTER,638.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,0,4,Turnover by C. Capela (3 sec)
1,QUARTER,620.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,0,4,Turnover by T. Lyles (bad pass)
1,QUARTER,602.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,0,6,T. Jones makes 2-pt hook shot from 4 ft
1,QUARTER,596.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,0,6,Turnover by R. Neto (lost ball; steal by P. Beverley)
1,QUARTER,586.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,0,6,Turnover by T. Ariza (bad pass; steal by R. Neto)
1,QUARTER,569.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,2,6,J. Withey makes 2-pt layup at rim (assist by R. Neto)
1,QUARTER,551.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,2,8,J. Harden makes 2-pt layup at rim
1,QUARTER,531.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,2,8,R. Neto misses 3-pt jump shot from 24 ft
1,QUARTER,530.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,2,8,Defensive rebound by T. Jones
1,QUARTER,522.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,2,10,J. Harden makes 2-pt jump shot from 16 ft
1,QUARTER,502.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,4,10,G. Hayward makes 2-pt jump shot from 6 ft
1,QUARTER,502.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,4,10,Shooting block foul by C. Capela (drawn by G. Hayward)
1,QUARTER,502.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,4,10,G. Hayward misses free throw 1 of 1
1,QUARTER,502.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,4,10,Defensive rebound by C. Capela
1,QUARTER,487.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,4,10,T. Ariza misses 2-pt jump shot from 17 ft
1,QUARTER,487.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,4,10,Defensive rebound by T. Lyles
1,QUARTER,474.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,6,10,J. Withey makes 2-pt dunk at rim (assist by R. Neto)
1,QUARTER,459.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,6,10,C. Capela misses 2-pt dunk at rim (block by J. Withey)
1,QUARTER,458.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,6,10,Defensive rebound by T. Lyles
1,QUARTER,444.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,6,10,J. Withey misses 2-pt layup at rim
1,QUARTER,443.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,6,10,Defensive rebound by T. Jones
1,QUARTER,438.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,6,10,Shooting foul by R. Hood (drawn by J. Harden)
1,QUARTER,438.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,6,10,J. Harden misses free throw 1 of 2
1,QUARTER,438.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,6,10,Offensive rebound by Team
1,QUARTER,438.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,6,10,M. Harrell enters the game for C. Capela
1,QUARTER,438.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,6,10,J. Terry enters the game for P. Beverley
1,QUARTER,438.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,6,10,R. Gobert enters the game for J. Withey
1,QUARTER,438.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,6,11,J. Harden makes free throw 2 of 2
1,QUARTER,423.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,6,11,T. Lyles misses 2-pt jump shot from 11 ft
1,QUARTER,422.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,6,11,Defensive rebound by J. Harden
1,QUARTER,416.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,6,11,Violation by T. Lyles (kicked ball)
1,QUARTER,400.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,6,11,J. Harden misses 3-pt jump shot from 24 ft
1,QUARTER,399.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,6,11,Defensive rebound by T. Lyles
1,QUARTER,391.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,6,11,T. Lyles misses 2-pt jump shot from 14 ft
1,QUARTER,390.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,6,11,Offensive rebound by R. Gobert
1,QUARTER,390.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,8,11,R. Gobert makes 2-pt layup at rim
1,QUARTER,373.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,8,11,Turnover by J. Terry (bad pass; steal by R. Hood)
1,QUARTER,370.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,8,11,Shooting foul by J. Harden (drawn by R. Hood)
1,QUARTER,370.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,9,11,R. Hood makes free throw 1 of 2
1,QUARTER,370.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,10,11,R. Hood makes free throw 2 of 2
1,QUARTER,356.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,10,11,Houston full timeout
1,QUARTER,346.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,10,11,T. Jones misses 3-pt jump shot from 25 ft
1,QUARTER,345.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,10,11,Defensive rebound by R. Gobert
1,QUARTER,330.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,10,11,Shooting foul by M. Harrell (drawn by R. Hood)
1,QUARTER,330.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,12,11,R. Hood makes 2-pt jump shot from 7 ft
1,QUARTER,330.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,13,11,R. Hood makes free throw 1 of 1
1,QUARTER,315.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,13,13,T. Jones makes 2-pt hook shot from 5 ft (assist by J. Harden)
1,QUARTER,296.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,16,13,R. Hood makes 3-pt jump shot from 24 ft (assist by R. Neto)
1,QUARTER,287.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,16,13,Shooting foul by T. Lyles (drawn by J. Harden)
1,QUARTER,287.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,16,14,J. Harden makes free throw 1 of 2
1,QUARTER,287.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,16,14,T. Booker enters the game for R. Neto
1,QUARTER,287.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,16,14,T. Burke enters the game for T. Lyles
1,QUARTER,287.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,16,14,C. Capela enters the game for T. Jones
1,QUARTER,287.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,16,15,J. Harden makes free throw 2 of 2
1,QUARTER,266.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,19,15,T. Burke makes 3-pt jump shot from 25 ft (assist by R. Hood)
1,QUARTER,251.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,19,15,Violation by T. Booker (kicked ball)
1,QUARTER,251.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,19,15,C. Brewer enters the game for T. Ariza
1,QUARTER,251.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,19,15,C. Johnson enters the game for R. Hood
1,QUARTER,241.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,19,15,J. Terry misses 3-pt jump shot from 23 ft
1,QUARTER,240.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,19,15,Defensive rebound by R. Gobert
1,QUARTER,232.0,UTAH JAZZ,UTAH JAZZ,HOUSTON ROCKETS,19,15,Turnover by G. Hayward (step out of bounds)
1,QUARTER,216.0,HOUSTON ROCKETS,UTAH JAZZ,HOUSTON ROCKETS,19,15,Turnover by M. Harrell (lost ball)
